company_id,name,company_size,state,city
2193,Canon Solutions America,6,NY,Melville
2206,LexisNexis,7,NY,New York City
2213,MetLife,7,NY,New York
2217,Halliburton,7,Texas,Houston
2219,"KBR, Inc.",7,Texas,Houston
2224,"Keller Williams Realty, Inc.",7,TX,Austin
2230,Hanesbrands Inc.,7,NC,Winston-Salem
2240,Juniper Networks,6,CA,Sunnyvale
2251,Victoria’s Secret & Co.,7,Ohio,Columbus
2252,Bath & Body Works,7,Ohio,Columbus
2266,Spherion,7,Georgia,Atlanta
2271,Starbucks,7,WA,Seattle
2272,Delta Air Lines,7,Georgia,Atlanta
2276,Genentech,7,California,South San Francisco
2279,Flex,7,Texas,Austin
2282,The Wall Street Journal,5,NY,New York
2284,Dow Jones,5,NY,New York
2300,Macy's,7,NY,New York
2305,Insight,7,Arizona,Chandler
2307,Kelly,7,Michigan,Troy
2311,Marriott International,7,MD,Bethesda
2319,CBRE,7,TX,Dallas
2340,Nationwide,7,0,0
2371,Baxter International Inc.,7,Illinois,Deerfield
2380,United Airlines,7,IL,Chicago
2381,State Farm,7,Illinois,Bloomington
2385,Dun & Bradstreet,6,FL,Jacksonville
2423,Mercer,7,NY,New York
2425,Pratt & Whitney,7,CT,East Hartford
2429,Carrier HVAC,7,0,0
2432,Grant Thornton LLP (US),6,IL,Chicago
2445,Northwestern Mutual,6,WI,Milwaukee
2449,Hilton,7,VA,McLean
2454,Oliver Wyman,6,NY,New York
2457,Synopsys Inc,7,California,Sunnyvale
2459,Zurich North America,7,IL,Schaumburg
2465,Digitas North America,5,Massachusetts,Boston
2467,The Hartford,7,CT,Hartford
2474,UCLA Health,7,CA,Los Angeles
2476,Children's Hospital Los Angeles (CHLA),5,CA,Los Angeles
2477,UCLA,7,CA,Los Angeles
2490,Cigna Healthcare,7,CT,Bloomfield
2494,Bloomberg,7,NY,New York
2498,Rockwell Automation,7,WI,Milwaukee
2513,Michigan Medicine,7,MI,Ann Arbor
2516,University of Michigan,7,Michigan,Ann Arbor
2532,U.S. Bank,7,MN,Minneapolis
2534,Experian,7,CA,Costa Mesa
2539,iHeartMedia,6,NY,New York
2541,Clear Channel Outdoor,5,NY,New York
2551,Whirlpool Corporation,7,Michigan,Benton Harbor
2562,Dow,7,Michigan,Midland
2576,Ingram Micro,7,CA,Irvine
2584,University of Washington,7,wa,Seattle
2593,Momentum Worldwide,5,New York,New York
2609,Panasonic Automotive North America,5,Georgia,Peachtree City
2610,Panasonic North America,7,NJ,Newark
2612,Panasonic Avionics Corporation,6,California,Irvine
2622,Caterpillar Inc.,7,Texas,Irving
2623,Columbia University Irving Medical Center,7,New York,New York
2624,Columbia University,7,NY,New York
2640,American Airlines,7,Texas,Dallas-Fort Worth
2641,Citrix,6,FL,Fort Lauderdale
2646,Walmart,7,Arkansas,Bentonville
2649,University of Illinois Chicago,7,il,Chicago
2650,University of Illinois Urbana-Champaign,7,IL,Champaign
2651,Caltrans,7,CA,Sacramento
2652,County of San Diego,7,California,San Diego
2654,CalPERS,5,CA,Sacramento
2666,California Department of Justice,5,CA,Sacramento
2677,McDonald's,7,Illinois,Chicago
2678,Cargill,7,Minnesota,Wayzata
2690,John Hancock,7,MA,Boston
2701,Liberty Mutual Insurance,7,MA,Boston
2722,KLA,7,California,Milpitas
2730,RR Donnelley,7,Illinois,Chicago
2739,Acxiom,5,Arkansas,Conway
2748,Colgate-Palmolive,7,New York,New York
2751,Expedia Group,7,WA,Seattle
2753,Emerson,7,MO,St. Louis
2776,Andersen Corporation,6,Minnesota,Bayport
2785,Federal Reserve Board,5,DC,Washington
2786,Federal Reserve Bank of San Francisco,5,CA,San Francisco
2790,Federal Reserve Bank of Boston,5,MA,Boston
2819,Publicis,5,New York,New York
2822,General Mills,7,Minnesota,Minneapolis
2835,Mary Kay Global,5,TX,Addison
2841,"University of California, Santa Cruz",5,ca,Santa Cruz
2842,"University of California, Davis",7,California,Davis
2844,UC Davis Health,7,CA,Sacramento
2859,BDO USA,7,IL,Chicago
2865,Visteon Corporation,7,MI,Van Buren Township
2868,Seagate Technology,7,CA,Fremont
2869,Canon Business Process Services,5,NY,New York
2882,ITT Inc.,7,Connecticut,Stamford
2889,Aerotek,5,Maryland,Hanover
2895,Brigham and Women's Hospital,7,0,0
2896,Massachusetts General Hospital,7,MA,Boston
2897,Newton-Wellesley Hospital,5,MA,Newton
2905,NYC Department of Education,7,NY,New York
2911,Albertsons Companies,7,Idaho,Boise
2913,Shaw's Supermarkets,7,0,0
2915,Acme Markets,7,Pennsylvania,Malvern
2918,The Save Mart Companies,7,0,Modesto
2931,Teradyne,6,MA,North Reading
2934,S&P Global,7,NY,New York
2941,Teacher Retirement System of Texas,4,Texas,Austin
2953,Texas Health and Human Services,7,TX,Austin
2958,Texas Workforce Commission,5,Texas,Austin
2960,Texas Attorney General,5,Texas,Austin
2980,Lexmark,7,Kentucky,Lexington
2984,"CSAA Insurance Group, a AAA Insurer",5,CA,Walnut Creek
2986,CertainTeed,6,PA,Malvern
2988,VMware,7,CA,Palo Alto
2994,Transportation Security Administration (TSA),7,Virginia,Arlington
2995,FEMA,7,DC,Washington
2997,U.S. Customs and Border Protection,7,D.C.,Washington
3007,Universal Music Group,6,California,Santa Monica
3012,Fifth Third Bank,7,Ohio,Cincinnati
3015,Mastercard,7,NY,Purchase
3019,Staples,7,MA,Framingham
3028,"University of California, San Francisco",7,California,San Francisco
3029,UCSF Health,6,CA,San Francisco
3032,"Ameriprise Financial Services, LLC",6,MN,Minneapolis
3039,Sony Music Entertainment,6,NY,New York
3047,Alcoa,7,PA,Pittsburgh
3050,University of Phoenix,6,AZ,Phoenix
3072,Broadcom,7,California,San Jose
3076,Kforce Inc,5,Fl,Tampa
3081,Thermo Fisher Scientific,7,MA,Waltham
3084,University of Southern California,7,CA,Los Angeles
3088,Travelers,7,NY,New York
3090,Check Point Software Technologies Ltd,6,CA,San Carlos
3100,U.S. Department of State,7,DC,Washington
